  iter/nx=0.2, err_Pf=9.016e-02
  iter/nx=0.5, err_Pf=3.764e-02
  iter/nx=0.8, err_Pf=1.809e-02
  iter/nx=1.0, err_Pf=1.095e-02
  iter/nx=1.2, err_Pf=7.643e-03
  iter/nx=1.5, err_Pf=4.608e-03
  iter/nx=1.8, err_Pf=2.179e-03
  iter/nx=2.0, err_Pf=1.740e-03
  iter/nx=2.2, err_Pf=7.973e-04
  iter/nx=2.5, err_Pf=3.651e-04
  iter/nx=2.8, err_Pf=2.363e-04
  iter/nx=3.0, err_Pf=1.930e-04
  iter/nx=3.2, err_Pf=8.232e-05
  iter/nx=3.5, err_Pf=4.231e-05
  iter/nx=3.8, err_Pf=2.498e-05
  iter/nx=4.0, err_Pf=1.730e-05
  iter/nx=4.2, err_Pf=1.079e-05
  iter/nx=4.5, err_Pf=5.364e-06
  iter/nx=4.8, err_Pf=3.453e-06
  iter/nx=5.0, err_Pf=2.129e-06
  iter/nx=5.2, err_Pf=9.072e-07
  iter/nx=5.5, err_Pf=5.794e-07
  iter/nx=5.8, err_Pf=5.359e-07
  iter/nx=6.0, err_Pf=1.968e-07
  iter/nx=6.2, err_Pf=1.325e-07
  iter/nx=6.5, err_Pf=6.271e-08
  iter/nx=6.8, err_Pf=5.894e-08
  iter/nx=7.0, err_Pf=2.332e-08
  iter/nx=7.2, err_Pf=1.570e-08
  iter/nx=7.5, err_Pf=8.064e-09
